header	Is your research data automatically backed up?	Did you lose any research data in the past year?	You said you lost research data in the past year. How much time did you lose?	How frequently do you have problems finding a specific research data file in your collection?	Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?	You said that you are currently using tools for data management. What are these tool(s)?	Would you be interested in trying out a dedicated tool for research data management?	Does your project have a data management plan?	Do you know who owns the research data that you are creating?	You said you know who owns the research data that you are creating. Who is it?	Who do you think is responsible for the stewardship of research data resulting from your project?	Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?	Are you aware of research data repositories?	Please provide us with the name(s) of the repository(ies) that you are using	Please indicate if you (or related staff / students) would be interested in any potential training on research data management	Which institution are you from?	Have you heard about dedicated support for research data management at EPFL?	Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]	Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]	Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]	Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]	Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]	Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]	Do you share data files associated with your publications?	Please specify where you share your data	What is your position?	Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?	Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?	Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?	Which faculty are you from?	Uni
12	No	No		Almost never	No		Yes	No	No		Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data backup and storage solutions	EPFL	No	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	Yes, sometimes	SI, through e-mail	Tenure Track Assistant Professor					Delft
13	Yes	No		Almost never	No		Not sure	No	Yes	The university	Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data	Zenodo, Figshare	Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	Yes	Yes	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Zenodo, Figshare	Associate Professor					Delft
14	Yes	Yes	1 month - 6 months	Sometimes	Yes	GitHub, Cloud storage.		Yes	Yes	Depends on the project. Often the data is owned by the lab. However, there are exceptions where we request to use data for research and at time even commercial purposes, in particular for publications and presentations.	Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data	e.g. ArXiv.org but also our own and some of our projects like qualinet databases	General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	EPFL	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, sometimes	Multimedia quality scores and content	Adjunct or MER Professor					Delft
15	No	No		Sometimes	No		Yes	No	Yes	Me	Myself;My university/institution;My funding agency	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management	EPFL	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	in my publications and when I am asked by colleagues to provide data	Adjunct or MER Professor					Delft
16	Yes	No		Never	No		No	Yes	Yes	Me myself and I	Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	EPFL	Yes	No	No	No	Yes, urgently	No	No	No	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	No	No		Full Professor					Delft
17	Yes	No		Almost never	Yes	openBIS		No	Yes	lab	My supervisor	Yes	Yes, I am aware of research data repositories, but I have not used them		Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes	Yes, urgently	No	No	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Mendeley	Associate Professor					Delft
18	Yes	No		Sometimes	Yes	Github, slack		No	Yes	copyright owner or us	Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);most of the ones above	EPFL	No	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes	Yes	Yes, urgently	No	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes, often	the lab website	Full Professor					Delft
19	Yes	No		Almost never	No		Not sure	No	No		Myself;My supervisor	No	Yes, I am already using them to find existing datasets or to share my own data	open science framework	General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes, I have already used it	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	No		PhD student					Delft
20	Not sure	No		Sometimes	No		Yes	No	Yes	EPFL; but in case of contract with industrial partners, the IP can be owned differently (everything is specified in the contracts prepared by TTO)	Myself;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Funders’ requirements for data management and sharing	EPFL	Yes	Yes, urgently	Yes, urgently	Yes	Yes, urgently	No	Yes	Yes	Yes	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes	SWITCHdrive	Adjunct or MER Professor					Delft
21	Yes	No		Almost never	Yes	CVS and, rarely, SVN and GIT		No	Yes	EPFL	I have no idea what the question means	No	No, I have no idea what these are		Not interested in training	EPFL	Yes	No	Yes	Not sure	Not sure	No	No	Yes	No	Not sure	No	No	No	Yes, sometimes	Own webserver	Full Professor					Delft
22	Yes	No		Almost never	Yes	GIT, Subversion		No	Not sure		Myself;Project partner (e.g. commercial company or a collaborator)	Yes	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	EPFL	Yes, I have already used it	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	Yes, often	Via the web page of the lab.	Full Professor					Delft
23	Yes	No		Almost never	No		Not sure	No	Not sure		Myself	Yes	Yes, I am already using them to find existing datasets or to share my own data	none so far, zenodo in the future	Not interested in training	EPFL	Yes	Yes	Yes, urgently	Yes	Yes, urgently	Yes, urgently	Yes	Yes, urgently	Yes	Yes	Yes	No	Yes, urgently	No		Tenure Track Assistant Professor					Delft
24	Not sure	Not sure		Never	Yes	c4science, we will consider zenodo for some cases, data for a PlosOne paper are archived with another tool		No	Yes	the research group conducting the experiment	Myself;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions	EPFL	Yes, I have already used it	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, sometimes	restricted access on google drive for team members, c4science for broader access but still with nominal access, one paper in the revision process with PlosOne will make the associated data visible to the public	Adjunct or MER Professor					Delft
25	Yes	Yes	1 day - 7 days	Almost never	No		Yes	No	Not sure		Myself	Not sure	Not sure		Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software	EPFL	No	No	Yes, urgently	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	Yes, often	Usually I share my data by email	Postdoc/researcher					Delft
26	No	No		Almost never	Yes	dropbox and git		No	No		Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software	EPFL	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	Yes	Yes	Yes	No	Yes, sometimes	on the journal websites	Associate Professor					Delft
27	No	Yes	1 day - 7 days	Sometimes	Yes	svn		No	Yes	Industry or me	Myself;Project partner (e.g. commercial company or a collaborator)	Yes	No, I have no idea what these are		General introduction to research data management	EPFL	Yes	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No	Yes	Desktop with svn	Adjunct or MER Professor					Delft
28	Not sure	Yes	1 day - 7 days	Sometimes	Yes	Git, github		No	Yes	The researcher	Myself	No	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions	EPFL	No	No	Yes, urgently	Yes	Not sure	Not sure	Not sure	No	Yes	Not sure	Not sure	Not sure	Not sure	Yes, often	github, and google drive	Tenure Track Assistant Professor					Delft
29	Yes	No		Sometimes	Yes	Git		Yes	Not sure		Myself	Not sure	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	No	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, often	on my lab website [anonymized].epfl.ch  	Associate Professor					Delft
30	No	Yes	7 days - 1 month	Frequently	No		Yes	No	Yes	laboratory PI	Myself	No	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	EPFL	Yes	Yes	Yes	Yes	Yes	No	No	No	No	Yes	Yes	Yes	Yes	Yes	lab server, supplementary information of manuscript	Tenure Track Assistant Professor					Delft
31	No	No		Sometimes	No		Yes	No	Not sure		Myself	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	EPFL	Yes	Yes	No	No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes, sometimes	own sever	Tenure Track Assistant Professor					Delft
32	No	No		Almost never	Yes	Home written software		No	Not sure		Myself	Not sure	Yes, I am aware of research data repositories, but I have not used them		Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Funders’ requirements for data management and sharing	EPFL	No	No	No	No	No	No	Yes	Yes	Yes	Yes	No	Yes	No	No		Tenure Track Assistant Professor					Delft
33	No	No		Almost never	No		Not sure	Not sure	Yes	Pur research Team 	Myself;My university/institution	Not sure	Yes, I am aware of research data repositories, but I have not used them		How to use repositories for data sharing and searching for existing datasets;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, urgently	Yes	Yes, urgently	No		Associate Professor					Delft
34	No	Not sure		Sometimes	No		Yes	No	Yes	EPFL	Myself	Yes	No, I have no idea what these are		General introduction to research data management;How to use repositories for data sharing and searching for existing datasets	EPFL	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes, urgently	Yes	Yes	Yes, urgently	No		Adjunct or MER Professor					Delft
35	No	No		Almost never	No		Yes	No	Not sure		Myself	No	No, I have no idea what these are		General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Not sure		Adjunct or MER Professor					Delft
36	Yes	No		Almost never	No		Yes	Not sure	Yes	"for SNF, OFROU projects, the data is public, for other research projects I manage, such as ""collectivité publique"" type, it is EPFL"	Myself;My university/institution;My funding agency	Not sure	Yes, I am aware of research data repositories, but I have not used them		How to use repositories for data sharing and searching for existing datasets;Using version control software	EPFL	Yes	Yes	Yes, urgently	Yes, urgently	Yes	Not sure	Not sure	No	Not sure	Yes	Yes	Not sure	Yes, urgently	Yes, sometimes	Google drive	Adjunct or MER Professor					Delft
37	Yes	No		Never	No		No	No	Not sure		I do not produce any data	Not sure	Yes, I am aware of research data repositories, but I have not used them		we produce no data	EPFL	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No		Full Professor					Delft
38	No	No		Sometimes	No		Yes	No	Yes	EPFL	Myself	Not sure	Not sure		Data management plan preparation;Data backup and storage solutions	EPFL	Yes	Yes	Yes	Yes	Yes	No	Yes	Not sure	Yes	Yes	Yes	Not sure	Yes	No		Adjunct or MER Professor					Delft
39	Yes	No		Sometimes	Yes	OneNote and MySQL		No	Yes	EPFL	Myself;My supervisor;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;Using version control software	EPFL	No	Yes	Yes, urgently	Yes	Yes	No	No	No	Yes	Yes, urgently	Yes	No	No	Yes, sometimes	Other rinstitutions	Postdoc/researcher					Delft
40	Yes	No		Sometimes	No		Not sure	No	Yes	Myself	Myself	No	Not sure		General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	EPFL	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes	Yes	Yes	No	Yes, often	vizier archive	Postdoc/researcher					Delft
42	Yes	No		Sometimes	No		Yes	No	Not sure		Myself;My supervisor	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	No	No	No	No	No	No	No	No	Yes	No	No	No	No	Yes	Zonedo	Postdoc/researcher					Delft
43	No	No		Sometimes	No		Yes	No	Not sure		Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets	EPFL	No	Not sure	Yes, urgently	Yes	Not sure	No	No	Yes	Yes	Yes, urgently	Not sure	Yes	No	No		Postdoc/researcher					Delft
44	No	No		Never	No		Not sure	No	Not sure		Myself;My supervisor	No	No, I have no idea what these are		General introduction to research data management;Data backup and storage solutions	EPFL	No	Yes	Not sure	Not sure	Not sure	No	No	Yes	Yes	Yes	Yes	Not sure	No	No		Postdoc/researcher					Delft
45	Yes	No		Almost never	No		Yes	No	Not sure		Myself	No	Not sure		General introduction to research data management	EPFL	No	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Not sure	No	No		Postdoc/researcher					Delft
46	Not sure	No		Sometimes	No		Yes	No	No		Myself	Not sure	Not sure		General introduction to research data management;Data ownership and licensing;Using version control software	EPFL	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	Not sure	Not sure	Not sure	Not sure	No		PhD student					Delft
47	Yes	No		Sometimes	No		Yes	No	No		Myself;My university/institution	No	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation	EPFL	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Not sure	Not sure	No	No		Postdoc/researcher					Delft
48	No	Yes	1 day - 7 days	Frequently	Yes	SLims by Genohm		Yes	Not sure		Myself;My supervisor;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software;Working with confidential data (personally identifiable, commercially sensitive etc.);Software carpentry (https://software-carpentry.org/)	EPFL	Yes	Not sure	Yes	Yes	Yes, urgently	Yes	Yes	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Not sure	Not sure	No		Postdoc/researcher					Delft
49	No	No		Sometimes	No		Yes	No	Not sure		My unit's IT manager	No	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Data café informal drop in sessions	EPFL	Yes	Yes	Yes	Yes	Yes	Not sure	Yes	Not sure	Yes	Yes	Yes	Yes	Not sure	Yes, sometimes	google drive, dropbox, enacshare	Postdoc/researcher					Delft
50	Yes	No		Almost never	Yes	git for software versioning		No	Not sure		My supervisor;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Data café informal drop in sessions	EPFL	Yes	Yes	Yes, urgently	Yes, urgently	Yes	Yes	Yes	Yes, urgently	Yes	No	Yes	Yes	Yes	Yes, sometimes	lab web site, supplementary materials of papers (hosted by editors)	Postdoc/researcher					Delft
51	No	No		Almost never	Yes	Git, Slack		No	Yes	Not me. My lab and the participants to my experiments.	Myself;My unit's IT manager;My university/institution	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Working with confidential data (personally identifiable, commercially sensitive etc.)	EPFL	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, urgently	Yes, sometimes	on demand with colleagues	Postdoc/researcher					Delft
52	Yes	Not sure		Sometimes	Yes	git		No	Not sure		Myself	No	Not sure		Not interested in training	EPFL	No	Not sure	No	No	No	No	Not sure	Not sure	No	No	No	No	Not sure	No		Postdoc/researcher					Delft
53	No	No		Almost never	Yes	git, and a somewhat structured directory hierarchy		No	Not sure		Myself	No	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	EPFL	No	No	Yes	No	No	No	No	No	No	No	No	No	No	Not sure		Postdoc/researcher					Delft
54	Not sure	No		Sometimes	No		Yes	No	No		My supervisor	No	No, I have no idea what these are		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;Data ownership and licensing;Using version control software	EPFL	No	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	No		Postdoc/researcher					Delft
55	No	No		Sometimes	No		Yes	Yes	Yes	my university; epfl	Myself	Yes	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software	EPFL	Yes, I have already used it	Yes	Yes	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes	No	No	Yes	Yes	Yes	Yes, often	GEO	PhD student					Delft
56	Yes	No		Almost never	No		Yes	Yes	Yes	Internal people and partners in some projects	Myself;My unit's IT manager;Project partner (e.g. commercial company or a collaborator)	Yes	Yes, I am aware of research data repositories, but I have not used them		General introduction to research data management;How to use repositories for data sharing and searching for existing datasets	EPFL	No	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	No	No	No	Not sure	Not sure	Not sure	Yes	Laboratory Room	Technical or scientific support staff					Delft
57	Yes	Not sure		Sometimes	No		Yes	No	Yes	the laboratory	Myself;My supervisor	No	Not sure		General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets	EPFL	No	Not sure	Yes	Yes	Not sure	Not sure	Yes	Yes	Yes	Yes	Yes	Not sure	Not sure	Not sure		Postdoc/researcher					Delft
58	Yes	Not sure		Almost never	Not sure		No	No	Yes	The industrial partner	Myself;My supervisor;Project partner (e.g. commercial company or a collaborator)	Not sure	Yes, I am aware of research data repositories, but I have not used them		Not interested in training	EPFL	Yes, I have already used it	No	Not sure	No	No	No	No	No	No	No	No	No	No	No		Technical or scientific support staff					Delft
59	No	No		Sometimes	Yes	Git		No	Not sure		Myself;My supervisor;Project partner (e.g. commercial company or a collaborator)	Yes	Yes, I am aware of research data repositories, but I have not used them		Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)	EPFL	Yes	Yes	Yes, urgently	Yes, urgently	Yes, urgently	Yes	Yes	Yes	Yes	Yes	Yes	Yes, urgently	Yes, urgently	Yes	lab website, research gate	Tenure Track Assistant Professor					Delft
