Link,title,comment,type,duration_mm:ss,importance_0to4,technique,research_field,license,production_year,language(s),rights_holder,contact,format
https://www.youtube.com/watch?time_continue=407&v=B70J_H_zAWM,Google Refine 2.0 - Introduction (1 of 3),"data cleansing (open refine), part 2 and 3 are too detailed. A good example of what could be avoided by better data management ;)",teaching,06:47,3,screenshot,data,youtube,2011,english,google,NA,video
https://www.youtube.com/watch?v=WmG3ItcIaSE,Short intro to Data Stewardship at the TU Delft,RDM promotion,promotion,03:44,3,TV like video,allgemein,youtube,2018,english,Data Stewardship TU Delft,NA,video
https://www.youtube.com/watch?v=o-OyGDCbu88,unlock the power of research data,why open data,awareness,02:09,3,animation,allgemein,youtube,2017,english,EU Science Hub - Joint Research Centre,NA,video
https://www.youtube.com/watch?v=Qqj9z5ip7ac,Open research,open research in general,awareness,01:31,3,video + whiteboard,allgemein,CC0,2011,english,NA,NA,video
https://www.youtube.com/watch?v=uEf0c0NT9_A,TROLLing - why linguists need it,open data repository for language linguistics,promotion,04:44,3,video,linguistics,CC-BY,2014,english,UiT The Arctic University of Norway,NA,video
https://www.youtube.com/watch?v=2JBQS0qKOBU,DCC: Managing Research Data,multiple interviews on why rdm,promotion and information,12:35,3,interview,allgemein,CC-BY,2012,english,dcc,Magdalena Getler,video
https://www.youtube.com/watch?v=8dhp_20j0Ys,How Toy Story 2 Almost Got Deleted: Stories From Pixar Animation: ENTV,toystroy2 data vanished,example backup,02:24,3,animation,allgemein,none,2012,english,http://www.deadline.com,NA,Video
https://www.youtube.com/watch?v=rh7bM1kfRsE,reBind Movie,"biodiversity data rescue, project promotion",NA,04:45,NA,"stop motion, playmobil",biodiversity,youtube,2011,"English, German",NA,NA,Video
https://doi.org/10.4126/FRL01-006399385,Der Publikationsservice GMS und das Forschungsdatenrepositorium DRYAD,"not working in safari, also available on youtube",information,04:12,0,"animation, drawing",Lebenswissenschaften,k.A.,2015,German,"Arning, Ursula; Haas, Simone; Kullmer, Bettina; Schmitz, Jasmin",Lindstaedt@zbmed.de,Video
https://doi.org/10.4126/FRL01-006399500,"Digital Object Identifier (DOIs) für Forschungsdaten und Publikationen in den Lebenswissenschaften, 1: DOI-Registrierung von ZB MED","not working in safari, also available on youtube",information,04:24,0,"animation, drawing",Lebenswissenschaften,k.A.,2015,German,"Haas, Simone; Kullmer, Bettina; Lindstädt, Birte; Pletsch, Katja; Arning, Ursula; Schmitz, Jasmin",Lindstaedt@zbmed.de,Video
https://doi.org/10.4126/FRL01-006399502,"Digital Object Identifier (DOIs) für Forschungsdaten und Publikationen in den Lebenswissenschaften, 2: Registrierung von DOIs durch Forschungseinrichtungen","not working in safari, also available on youtube",information,03:34,0,"animation, drawing",Lebenswissenschaften,k.A.,2015,German,"Haas, Simone; Kullmer, Bettina; Lindstädt, Birte; Pletsch, Katja; Arning, Ursula; Schmitz, Jasmin",Lindstaedt@zbmed.de,Video
https://doi.org/10.18450/dataman/90,Was sind Forschungsdaten?,"langsam, zielgruppe= librarian",information,06:30,1,slideshow,allgemein,CC BY 4.0,2016,German,"Aust, Pamela; Helbig, Kerstin; Schenk, Ulrike; Zielke, Dennis; Rosenbaum, Anja; Schulze, Jörg",kerstin.helbig@cms.hu-berlin.de,Video
https://www.youtube.com/watch?v=D3Mne6heXf4,Frau Dr. Grünsteins Problem mit Forschungsdaten,"bad music, too long for the information given, not better than just text","awareness, pub",03:02,1,powtoon,allgemein,youtube,2016,German,NA,NA,Video
https://www.youtube.com/watch?v=VF5A2JhiJug,dataschutz,"data protection, not only rd",information,04:15,1,"whiteboard, explainity",non-science,"copyrighted, youtube",2013,German,explainity,NA,video
https://doi.org/10.18450/dataman/91,Was sind Datenmanagementpläne?,"dmp, 2 voices, QandA,no visual",information,04:12,2,slideshow,allgemein,CC BY 4.0,2017,German,"Helbig, Kerstin; Krause, Katja; Kruse, Carolin; Rehak, Florian; Tari, Gianpiero",kerstin.helbig@cms.hu-berlin.de,Video
https://doi.org/10.18450/dataman/95,Forschungsdaten in der Physik,very vague and difficult to feel spoken to,information,04:43,2,slideshow,Naturwissenschaften,CC BY 4.0,2018,German,"Helbig, Kerstin; Krause, Katja; Rehak, Florian; Kruse, Carolin; Rosenbaum, Anja; Tari, Gianpiero",kerstin.helbig@cms.hu-berlin.de,Video
https://doi.org/10.18450/dataman/96,Forschungsdaten in der Chemie,same as https://doi.org/10.18450/dataman/95,information,04:43,2,slideshow,Naturwissenschaften,CC BY 4.0,2018,German,"Helbig, Kerstin; Krause, Katja; Rehak, Florian; Kruse, Carolin; Rosenbaum, Anja; Tari, Gianpiero",kerstin.helbig@cms.hu-berlin.de,Video
https://doi.org/10.18450/dataman/97,Forschungsdaten in der Biologie,same as https://doi.org/10.18450/dataman/95,information,04:43,2,slideshow,Lebenswissenschaften,CC BY 4.0,2018,German,"Helbig, Kerstin; Krause, Katja; Rehak, Florian; Kruse, Carolin; Rosenbaum, Anja; Tari, Gianpiero",kerstin.helbig@cms.hu-berlin.de,Video
https://www.youtube.com/watch?v=6XLcJxPcrFQ,Forschungsdatenmanagement an der RWTH Aachen,"information good, a bit too slow, could be reduced to 1 min.","information, pub",03:02,3,video,allgemein,NA,2016,German,NA,NA,Video
https://www.youtube.com/watch?v=XT7gLUrKUJQ,open content,"open data, open access",information,03:38,3,whiteboard,allgemein,"copyrighted, youtube",2013,German,explainity,NA,video
https://www.youtube.com/watch?v=xvYB0SB2vhw,wo liegt dein backup,backup,awareness,00:11,3,video,allgemein,CCby,2017,german (no tone),UNEKE Forschungsdatenmanagement,NA,video
https://www.youtube.com/watch?v=5Pl671FH6MQ,NA,"created for business data, quite cool to see other elements not taken into account (""dmp is an IT question"")",pub,06:07,1,animation,allgemein,NA,NA,NA,NA,NA,Video
https://www.youtube.com/watch?v=LwndToeVneE,NA,law and data protection,information,03:46,1,slideshow,NA,youtube,NA,NA,NA,NA,Video
https://www.youtube.com/watch?time_continue=2&v=SC4-O8BmI4I,Launching the European Open Science Cloud: A virtual environment for Europe's 1.7 million researchers.,open science cloud. data access and interoperability,information,02:32,3,animation,allgemein,youtube license,NA,NA,NA,NA,Video
https://www.youtube.com/watch?v=GVZv0rUyGdw,utrecht RD center,"visionfor2020, support promotion",pub,01:26,3,animation,allgemein,youtube license,NA,NA,NA,NA,Video
https://www.youtube.com/watch?v=w9SCtL43vDM,NA,"science slam, interesting comparisons data-kid",awareness,10:54,3,slam,allgemein,youtube,NA,NA,NA,NA,Video
https://www.youtube.com/watch?time_continue=90&v=sSkUUCfps2Y,"Reuse of Research Data: Rewards, Incentives, and Mindset",NA,promotion,03:04,4,video,allgemein,?,NA,NA,NA,NA,Video
https://www.youtube.com/watch?time_continue=9&v=cuaAVum9mZk,University of Edinburgh Research Data Service,nice comprehensive of what rdm helpdesk can do,promotion,02:52,3,animation,allgemein,CC BY 4.0,2017,english,University of Edinburgh library,NA,Video
https://www.youtube.com/watch?v=yhVqImna7cU,Vox Pop Research Data Management and Sharing,interviews about RDM,awareness,07:39,3,interview,allgemein,CC BY 4.0,2016,english,University of Edinburgh library,NA,Video
https://www.youtube.com/watch?v=PXr14Urf268,MANTRA - Jeff Haywood - Advice to PhD students and early career researchers,interviews about RDM,awareness,02:12,3,interview,allgemein,CC BY 4.0,2012,english,University of Edinburgh library,NA,Video
https://www.youtube.com/watch?v=D1ds3tEVY2Q,Open Access und Open Research Data – Forschung. Einfach. Teilen. ZBW.,NA,awareness,04:03,1,interview,NA,none,NA,German,ZWB,NA,NA
https://www.youtube.com/watch?v=fFvLs7a5TuY,Open Access to Research Data in Horizon 2020,NA,information,14:04,1,slideshow,NA,CC BY 4.0,2018,english,openAIRE,NA,NA
https://www.youtube.com/watch?v=dXKbkpilQME,Rethinking Research Data | Kristin Briney | TEDxUWMilwaukee,Ted talk about sharing research data,awareness,15:05,3,talk,allgemein,none,2015,english,NA,NA,NA
